name,agency_type,city ,state,website_url,nextrequest_url,ipra_email,phone,fax,notes
University of New Mexico,University,Albuquerque,New Mexico,https://www.unm.edu/,https://unmipra.nextrequest.com/,unmipra@salud.unm.edu,505-277-5035,,"Accepted submission methods: Online Portal, Mail, Email, and Phone                Mailing Address:         Custodian of Public Records
MSC05 3440
Scholes Hall Room 208
1 University of New Mexico
Albuquerque, NM 87131-0001                  "
Bernalillo County Metropolitan court,Court/Juficiary,Albuquerque,New Mexico,https://nmcourts.gov, https://ipra.nmcourts.gov/,metrrecordscustodian@nmcourts.gov,855-268-7804,,"Centralized state portal. Must select ""Bernalillo County Metropolitan Court"" from the dropdown menu on the submission page. Mailing Address:            New Mexico Administrative Office of the Courts
Attn: Records Custodian
202 E. Marcy St.
Santa Fe, NM 87501"
Catron County,County Government,Reserve,New Mexico,https://www.catroncounty.us/,,,(575) 533-6400,,Accepted submission methods: Mail                          Mail via postal mail to:    Sherry Perez                                         Clerk – PO Box 197
Dona Ana County,County Government,Las Cruces,New Mexico,https://www.donaana.gov/,https://recordbook.donaana.gov/newRequest,,,,"Accepted submission methods: Online/Mail/In-Person                                          Mailing Address:                                   Doña Ana County
IPRA Custodian
845 N. Motel Blvd., Box #17
Las Cruces, NM 88007"
Eddy County,County Government,Carlsbad,New Mexico,https://www.co.eddy.nm.us/,https://eddycountynm.nextrequest.com/requests/new,,,,Accepted submission methods:  Online Portal
Lea County Sherrif's office,Sheriff Office,,,https://www.leacounty.gov/,,lcsorecords@leacounty.net,575-396-6242,575-396-8299,"Request method: mail and email                                          Mailing Address:            Records Request
Lea County Sheriff's Office
1417 S. Commercial
Lovington, NM 88260"
Lea County ,County Government,Lovington,New Mexico,https://www.leacounty.gov/,, recordsrequest@leacounty.net,575-396-9110,575-396-2093,"Request method: mail and email                                          Mailing Address:            Monica M. Russell, Public Information Officer
100 N Main Avenue, Suite 4
Lovington, NM 88260"
Los Alamos County,County Government,Los Alamos,New Mexico,https://www.losalamosnm.gov/Home,https://www.losalamosnm.gov/Services/Records-and-Licenses/Inspection-of-Public-Records/Request-Public-Records-Form,inspect-records@losalamosnm.gov,505-663-1891,,"Accepted submission methods: Online Portal, Email, and In-Person Mailing Address:                                       Municipal Building
1000 Central Ave., Ste. 190
87544"
Rio Arriba County,County Government,Tierra Amarilla,New Mexico,https://www.rio-arriba.org/Home,,public.requests@rio-arriba.org,505-753-1780,505-753-1258,"Accepted submission methods: Email, Fax, Mail, In Person.                              Mailing Address: RIO ARRIBA COUNTY CLERK’S OFFICE
Linda J. Padilla, County Clerk
1122 Industrial Park Road, Española, NM 87532"
Taos County,County Government,Taos,New Mexico,https://www.taoscounty.org/,https://taoscountynm.nextrequest.com,anna.martinez@taoscounty.org,575-737-6380,575-737-6390,"Accepted submission methods: Online Portal, Mail, Email                              Mailing Address:         Records Custodian, Chief Deputy Clerk, Anna Martinez 105 Albright St, Suite D, Taos, New Mexico, 87571"
